日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20220831,8174,日本瓦斯,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
20220831,8179,ロイヤルホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
20220831,8181,東天紅,スタンダード（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220831,8182,いなげや,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220831,8185,チヨダ,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220831,8194,ライフコーポレーション,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
20220831,8198,マックスバリュ東海,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
20220831,8200,リンガーハット,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
20220831,8202,ラオックス,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
20220831,8203,ＭｒＭａｘＨＤ,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220831,8207,テンアライド,スタンダード（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220831,8208,エンチョー,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
20220831,8209,フレンドリー,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
20220831,8214,ＡＯＫＩホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
20220831,8215,銀座山形屋,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
20220831,8217,オークワ,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220831,8218,コメリ,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
20220831,8219,青山商事,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
20220831,8225,タカチホ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売 ,-,-
20220831,8226,理経,スタンダード（内国株式）,6050,卸売業,13,商社・卸売 ,-,-
20220831,8227,しまむら,プライム（内国株式）,6100,小売業,14,小売 ,4,TOPIX Mid400
20220831,8230,はせがわ,スタンダード（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
20220831,8233,高島屋,プライム（内国株式）,6100,小売業,14,小売 ,4,TOPIX Mid400
20220831,8237,松屋,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
